"model","model_family","horizon","n_evaluation","RMSE","MAE","bias","correlation"
"AR(4)","Baseline",1,90,0.0019314767520052,0.00147561341881384,0.000556197452222955,0.519127313579661
"BorutaRF","FeatureSelection+Tree",1,90,0.00194691697476759,0.00149662013780926,0.000755591678618124,0.560419947041957
"Ensemble_InvRMSE","Ensemble",1,90,0.00195455276023526,0.00148998899979772,0.000771328936213748,0.558484215119314
"Ensemble_Mean","Ensemble",1,90,0.00196504379272878,0.00149871268838471,0.000792928499215621,0.558655625819667
"Ensemble_Median","Ensemble",1,90,0.0020054613487865,0.00154021137866032,0.000875753509839854,0.556742615832656
"Factor","Factor",1,90,0.00203313580512492,0.00154648466697926,0.000699206663073903,0.502049165526356
"RW","Baseline",1,90,0.00206899663138244,0.00145694992248573,4.60792884331478e-05,0.544053011539791
"LASSO","Regularization",1,90,0.00207310897114259,0.00155973731153906,0.00093911773764106,0.519331177697253
"XGBoost","Boosting",1,90,0.0020888443750472,0.00156855266563679,0.00096035493909402,0.539878771041102
"RandomForest","Tree",1,90,0.00209246570196727,0.00161965494875987,0.000926958144694609,0.500564990095963
"ElasticNet","Regularization",1,90,0.00211458199256579,0.00158694850029173,0.000987756708678398,0.502604922952875
"Ridge","Regularization",1,90,0.00247558122646766,0.00180305060677989,0.00126509388048438,0.287999291932665
"BorutaRF","FeatureSelection+Tree",3,90,0.00208317714636842,0.00162069764638599,0.00071502392998916,0.440271205744407
"Ensemble_InvRMSE","Ensemble",3,90,0.00226603443017469,0.00170751642878995,0.000937060506355461,0.303523789880272
"Ensemble_Mean","Ensemble",3,90,0.00227612773036201,0.00170882704095416,0.000946034294816709,0.293679596938207
"AR(4)","Baseline",3,90,0.00229166076901428,0.00173011909987038,0.000888603992222181,0.218754251225864
"RandomForest","Tree",3,90,0.00229166615154872,0.00177184111343652,0.00102843536008009,0.325386016737969
"RW","Baseline",3,90,0.00232785260295491,0.00179996770976653,0.000123442495211614,0.41270599852522
"Ensemble_Median","Ensemble",3,90,0.00241485975895046,0.00180579907220279,0.00108240921535932,0.148927750164509
"XGBoost","Boosting",3,90,0.00242663273554526,0.00182010133511884,0.00118020717654204,0.197069175595162
"ElasticNet","Regularization",3,90,0.0025065036447261,0.00188361098434506,0.00114525660402046,0.0456574747726336
"LASSO","Regularization",3,90,0.00250971259551446,0.00189111998578647,0.00114315612119853,0.0441322508078382
"Ridge","Regularization",3,90,0.0026806528081643,0.00194606980152193,0.00127077223402325,0.0441255206158055
"Factor","Factor",3,90,0.00285723246229808,0.00197985392008394,0.00101941074006305,0.0168235021425891
"BorutaRF","FeatureSelection+Tree",6,90,0.00217128075380247,0.00167773190974772,0.0006474599257295,0.331277058295236
"Ensemble_InvRMSE","Ensemble",6,90,0.00225747315252061,0.00169014215205502,0.000882551478623178,0.277640611124204
"Ensemble_Mean","Ensemble",6,90,0.00225848918858965,0.00169064270586707,0.00089740224053025,0.285872452316285
"RandomForest","Tree",6,90,0.00227492392367279,0.00172944459370124,0.000937618692752335,0.288841969842294
"Ensemble_Median","Ensemble",6,90,0.0023896973546317,0.00177885506977667,0.00103949784799538,0.108117417761331
"AR(4)","Baseline",6,90,0.00241674796275422,0.00180046240812348,0.000961513393111015,-0.076650282945384
"Factor","Factor",6,90,0.00241789826431072,0.00180531736730235,0.00099735032418333,0.0863106030247364
"XGBoost","Boosting",6,90,0.00244777133582819,0.00184106189953218,0.00112235406681812,0.0467150990005412
"RW","Baseline",6,90,0.0024906392474478,0.00185756402410411,0.000213989124830722,0.335252129172606
"ElasticNet","Regularization",6,90,0.00249132597674598,0.00183375324596755,0.00105944584277578,0.0403833171772388
"LASSO","Regularization",6,90,0.00249150680597936,0.00182558959520296,0.00107678030738856,-0.00703227102357133
"Ridge","Regularization",6,90,0.00265805465303471,0.00194342837482002,0.00106010848718289,0.129557103143694
"Ensemble_Mean","Ensemble",12,90,0.00238115180743575,0.00175646473655008,0.000904579433270915,0.0146542727310281
"Ensemble_InvRMSE","Ensemble",12,90,0.00239353905733619,0.00176573508922861,0.000915191465434105,-0.00879149183046034
"XGBoost","Boosting",12,90,0.00240121144671906,0.00179775342998654,0.000838749084923002,-0.0579217420655056
"Ensemble_Median","Ensemble",12,90,0.00243223143093543,0.001780195165248,0.0010764934950874,0.00294732916467721
"LASSO","Regularization",12,90,0.00243968395549108,0.00178387167533509,0.00112227847981677,0.0387480517894854
"ElasticNet","Regularization",12,90,0.00244055536448179,0.00178367070019687,0.00112484288345667,0.0386707246929056
"RandomForest","Tree",12,90,0.00245513595320485,0.00180584972098394,0.000936968036635822,-0.0288251104425609
"Ridge","Regularization",12,90,0.00245687870303076,0.00178661983494438,0.00112352513372923,0.0302500175499695
"BorutaRF","FeatureSelection+Tree",12,90,0.00246078375683918,0.00187479343272729,0.000426316228303146,0.0158790192970906
"AR(4)","Baseline",12,90,0.00251862232519274,0.00183968660211754,0.00115748468570016,-0.091532818973383
"Factor","Factor",12,90,0.00267250558866766,0.00195661619382931,0.00118120446164678,-0.149801319864631
"RW","Baseline",12,90,0.00290738013698039,0.00208483937006346,0.000229845905226651,0.0978436626576334
