"track","track_label","horizon","loss","n_evaluation","n_models","n_survivors","alpha","confidence_level","bootstrap_samples","block_length","statistic","final_p_value","minimum_survivor_mcs_p_value","mcs_package_version","mcs_output_format","extraction_status","audit_status","audit_failed","audit_critical_failed","status","status_message"
"monthly_transformed","Target-month transformed change",1,"SE",90,12,12,0.1,0.9,5000,7,"Tmax",,0.178,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",1,"AE",90,12,12,0.1,0.9,5000,7,"Tmax",,0.1496,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"SE",90,12,12,0.1,0.9,5000,4,"Tmax",,0.1696,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"AE",90,12,12,0.1,0.9,5000,5,"Tmax",,0.1464,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"SE",90,12,12,0.1,0.9,5000,6,"Tmax",,0.3934,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"AE",90,12,12,0.1,0.9,5000,7,"Tmax",,0.4544,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"SE",90,12,12,0.1,0.9,5000,7,"Tmax",,0.304,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"AE",90,12,12,0.1,0.9,5000,7,"Tmax",,0.1076,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",1,"SE",90,12,11,0.1,0.9,5000,7,"Tmax",,0.1442,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",1,"AE",90,12,10,0.1,0.9,5000,7,"Tmax",,0.1432,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",3,"SE",90,12,5,0.1,0.9,5000,3,"Tmax",,0.174,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",3,"AE",90,12,4,0.1,0.9,5000,4,"Tmax",,0.1116,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",6,"SE",90,12,10,0.1,0.9,5000,8,"Tmax",,0.27,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",6,"AE",90,12,6,0.1,0.9,5000,3,"Tmax",,0.112,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",12,"SE",90,12,10,0.1,0.9,5000,10,"Tmax",,0.152,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Personal Consumption Expenditures Price Index [PCEPI] cumulative transformed change / reconstructed level",12,"AE",90,12,9,0.1,0.9,5000,9,"Tmax",,0.3094,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
